index,year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,Egypt,South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,Yemen,United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Samoa,Solomon Islands,Tonga,population_total
44,2004,27154515.0,141057045.0,8816844.0,10975704.0,76077206.0,32628286.0,79477443.0,48991421.0,29953018.0,21868298.0,182675143.0,41543171.0,5388175.0,12807402.0,8910263.0,31938807.0,292805298.0,16187322.0,38815916.0,3251155.0,86394504.0,142902856.0,1135991513.0,26016656.0,171286000.0,1296075000.0,4166664.0,127761000.0,25256772.0,65452047.0,10107146.0,21451748.0,7463157.0,7716860.0,47979507.0,7389625.0,4591910.0,292074.0,5404523.0,8993531.0,2404821.0,5882061.0,4599279.0,27577878.0,22095167.0,4428967.0,6809000.0,823741.0,773332.0,19669480.0,19932722.0,4087500.0,19820.0,96085.0,51791.0,111925.0,10060.0,186249.0,474611.0,105071.0,4434157089.0
45,2005,27963289.0,145017253.0,9054528.0,11235472.0,78367470.0,33109249.0,81101004.0,49490033.0,30358144.0,22449438.0,184688101.0,42128977.0,5448097.0,13087629.0,9061273.0,32242732.0,295516599.0,16348778.0,39216789.0,3313026.0,88015962.0,144715786.0,1154676322.0,26309458.0,175453212.0,1303720000.0,4265762.0,127773000.0,25836071.0,66017420.0,10087065.0,21319685.0,7440769.0,7658972.0,47585556.0,7437115.0,4623291.0,296734.0,5419432.0,9029572.0,2459802.0,6029587.0,4671102.0,28407448.0,22790085.0,4664790.0,6930100.0,888822.0,825408.0,20559890.0,20176844.0,4133900.0,19819.0,98035.0,51906.0,111412.0,10049.0,186978.0,483080.0,105671.0,4490485798.0
46,2006,28794003.0,149077334.0,9299246.0,11500094.0,80703490.0,33623506.0,82700403.0,49998277.0,30771178.0,23040702.0,186653106.0,42691084.0,5505148.0,13367459.0,9216562.0,32571193.0,298379912.0,16509195.0,39622115.0,3375024.0,89508986.0,146405973.0,1172878890.0,26565425.0,179682690.0,1311020000.0,4401365.0,127854000.0,26417909.0,66567687.0,10071370.0,21193760.0,7411569.0,7601022.0,47278694.0,7483934.0,4660677.0,303782.0,5437272.0,9080505.0,2514795.0,6427371.0,4751136.0,28616515.0,23543083.0,5009100.0,7053700.0,960424.0,972831.0,21459144.0,20450966.0,4184600.0,19593.0,100017.0,51992.0,110729.0,10034.0,187709.0,491594.0,106253.0,4546248133.0
47,2007,29653430.0,153267261.0,9549933.0,11770344.0,83103217.0,34189416.0,84276225.0,50528584.0,31186468.0,23642279.0,188552320.0,43235374.0,5559386.0,13652040.0,9373296.0,32888886.0,301231207.0,16671581.0,40016763.0,3437490.0,91075184.0,147989278.0,1190676021.0,26788492.0,184493231.0,1317885000.0,4588599.0,128001000.0,26998389.0,67102394.0,10055780.0,20882982.0,7381579.0,7545338.0,47062798.0,7551117.0,4709153.0,311566.0,5461438.0,9148092.0,2570174.0,6827227.0,4844118.0,28391607.0,24318082.0,5624635.0,7180100.0,1039295.0,1208595.0,22368313.0,20827622.0,4223800.0,19302.0,102068.0,52035.0,109880.0,10020.0,188753.0,500156.0,106726.0,4602007446.0
48,2008,30539553.0,157595014.0,9804269.0,12048959.0,85543668.0,34816961.0,85864789.0,51114599.0,31606767.0,24249946.0,190367302.0,43758808.0,5613574.0,13935174.0,9530774.0,33247298.0,304093966.0,16838988.0,40424148.0,3500648.0,92699095.0,149474264.0,1207930964.0,26990037.0,189499113.0,1324655000.0,4839396.0,128063000.0,27570059.0,67619830.0,10038188.0,20537875.0,7350222.0,7492561.0,46819175.0,7647675.0,4768212.0,317414.0,5493621.0,9219637.0,2626529.0,6989866.0,4925354.0,28971036.0,25111941.0,6302664.0,7308800.0,1103496.0,1426938.0,23287877.0,21249199.0,4259800.0,19009.0,104222.0,52030.0,108936.0,10009.0,190107.0,508790.0,107020.0,4658186174.0
49,2009,31451151.0,162049464.0,10060432.0,12337389.0,88007636.0,35490445.0,87501636.0,51728516.0,32030778.0,24862664.0,192079951.0,44271541.0,5671236.0,14215611.0,9689581.0,33630069.0,306771529.0,17009731.0,40854831.0,3564381.0,94384250.0,150873714.0,1225524753.0,27173035.0,194376534.0,1331260000.0,4987573.0,128047000.0,28124778.0,68121080.0,10022650.0,20367487.0,7320807.0,7444443.0,46623731.0,7743831.0,4828726.0,318499.0,5523095.0,9298515.0,2684659.0,7141753.0,4992287.0,30058206.0,25927724.0,6707058.0,7485600.0,1178415.0,1608903.0,24217654.0,21691653.0,4302600.0,18709.0,106467.0,52019.0,107957.0,10016.0,191513.0,518141.0,107203.0,4714753619.0
50,2010,32390802.0,166642886.0,10317553.0,12635413.0,90538514.0,36188236.0,89196072.0,52344051.0,32467016.0,25474995.0,193701929.0,44777319.0,5737971.0,14500112.0,9803294.0,34005902.0,309327143.0,17181464.0,41288694.0,3628535.0,96337125.0,152201981.0,1243481564.0,27341952.0,199239047.0,1337705000.0,5076732.0,128070000.0,28655776.0,68579447.0,10000023.0,20246871.0,7291436.0,7395599.0,46456003.0,7824909.0,4889252.0,318041.0,5547683.0,9378126.0,2757446.0,7297043.0,5041288.0,31045366.0,26754387.0,6869838.0,7623600.0,1228543.0,1616832.0,23978487.0,22031750.0,4350700.0,18396.0,108704.0,52044.0,107540.0,10043.0,193023.0,532968.0,107400.0,4769911876.0
51,2011,33354543.0,171379598.0,10573733.0,12958897.0,93149970.0,36903376.0,91093059.0,52995205.0,32912588.0,26095088.0,195284734.0,45259614.0,5814626.0,14792126.0,9914904.0,34339221.0,311583481.0,17351816.0,41730660.0,3693505.0,98248614.0,153591076.0,1261224954.0,27464494.0,203746065.0,1345035000.0,5183688.0,127833000.0,29162039.0,69007208.0,9971727.0,20147528.0,7236519.0,7348328.0,46307853.0,7912398.0,4953088.0,319014.0,5570572.0,9449213.0,3076763.0,7480424.0,5096020.0,32161424.0,27582897.0,7104538.0,7765800.0,1195020.0,1624761.0,25091867.0,22340024.0,4384000.0,18078.0,110647.0,51907.0,107698.0,10098.0,194713.0,552945.0,107570.0,4826952327.0
52,2012,34337438.0,176200625.0,10829901.0,13310495.0,95798767.0,37646166.0,93161001.0,53782567.0,33355241.0,26734268.0,196876111.0,45715810.0,5897008.0,15089647.0,10069771.0,34713395.0,313877662.0,17519119.0,42161721.0,3759256.0,100175512.0,155070101.0,1278674502.0,27534915.0,207667125.0,1354190000.0,5312437.0,127629000.0,29662831.0,69436098.0,9920362.0,20058035.0,7201497.0,7305888.0,46210056.0,7996861.0,5018573.0,320716.0,5591572.0,9519374.0,3547106.0,7587127.0,5235742.0,33654842.0,28433647.0,7391448.0,7910500.0,1208964.0,1722438.0,26168861.0,22733465.0,4408100.0,17765.0,112284.0,51419.0,107890.0,10267.0,196498.0,573606.0,107460.0,4886512865.0
53,2013,35337042.0,181049443.0,11093340.0,13710849.0,98438751.0,38414171.0,95333553.0,54678791.0,33787571.0,27386193.0,198478299.0,46151584.0,5982445.0,15387337.0,10222362.0,35080992.0,316059947.0,17687006.0,42582455.0,3825329.0,102076336.0,156532141.0,1295829511.0,27589996.0,211073978.0,1363240000.0,5399162.0,127445000.0,30174265.0,69845114.0,9893082.0,19983693.0,7166553.0,7265115.0,46126770.0,8089346.0,5079623.0,323764.0,5614932.0,9600379.0,3833913.0,7991809.0,5743436.0,35281989.0,29312952.0,7693031.0,8059500.0,1253191.0,1916426.0,27624004.0,23128129.0,4442100.0,17648.0,113838.0,50681.0,108121.0,10517.0,198268.0,594945.0,107078.0,4946519809.0
54,2014,36395539.0,185896915.0,11364757.0,14152102.0,101115610.0,39205031.0,97528654.0,55594838.0,34204780.0,28041592.0,200085127.0,46565429.0,6069811.0,15681725.0,10373235.0,35434066.0,318386329.0,17864195.0,43024071.0,3892101.0,103767130.0,157964929.0,1312277191.0,27672370.0,214264647.0,1371860000.0,5469724.0,127276000.0,30696137.0,70216367.0,9866468.0,19908979.0,7131787.0,7223938.0,45972380.0,8188649.0,5137232.0,327386.0,5643475.0,9696110.0,4002439.0,8791710.0,6346990.0,36550059.0,30226309.0,8059440.0,8215700.0,1314562.0,2151745.0,28309273.0,23475686.0,4516500.0,17715.0,115326.0,49796.0,108396.0,10742.0,200037.0,616908.0,106609.0,5004624762.0
55,2015,37531446.0,190671878.0,11640022.0,14593331.0,103867135.0,40019529.0,99597342.0,56723537.0,34607588.0,28696068.0,201675532.0,46969940.0,6159103.0,15971743.0,10523242.0,35704498.0,320738994.0,18047625.0,43477012.0,3960035.0,105312992.0,159383179.0,1328024498.0,27823629.0,217290883.0,1379860000.0,5535002.0,127141000.0,31232798.0,70540795.0,9843028.0,19815616.0,7095383.0,7177991.0,45784896.0,8282396.0,5188607.0,330815.0,5683483.0,9799186.0,4184895.0,9544729.0,6472469.0,37560535.0,31159379.0,8505237.0,8380100.0,1370322.0,2344557.0,29816382.0,23815995.0,4609400.0,17770.0,116815.0,48800.0,108716.0,10954.0,201782.0,639415.0,106095.0,5061338139.0
56,2016,38799152.0,195443700.0,11919183.0,15034521.0,106718162.0,40850721.0,101644589.0,57259551.0,35023457.0,29356742.0,203218114.0,47437512.0,6249126.0,16268760.0,10671457.0,36110803.0,323071755.0,18267221.0,43900313.0,4029086.0,106735719.0,160811932.0,1343944296.0,27955462.0,220138869.0,1387790000.0,5607283.0,127076000.0,31789685.0,70859841.0,9814023.0,19702267.0,7058322.0,7127822.0,45616832.0,8373338.0,5234519.0,335439.0,5728010.0,9923085.0,4390877.0,10006367.0,6323060.0,38469627.0,32109010.0,8935095.0,8546000.0,1423726.0,2477113.0,30954198.0,24190907.0,4714100.0,17797.0,118478.0,47709.0,109075.0,11150.0,203499.0,662379.0,105524.0,5116714376.0
57,2017,40177388.0,200254579.0,12202060.0,15475002.0,109666481.0,41689299.0,103696057.0,57635162.0,35446392.0,30008354.0,204703445.0,48131078.0,6338660.0,16567357.0,10817754.0,36545075.0,325122128.0,18558868.0,44288894.0,4098707.0,108119693.0,162186147.0,1359657400.0,28011258.0,223273967.0,1396215000.0,5612253.0,126972000.0,32355644.0,71160187.0,9787966.0,19588715.0,7020858.0,7075947.0,45436041.0,8451840.0,5276968.0,343400.0,5764980.0,10057698.0,4537396.0,10234226.0,6160128.0,39337353.0,33090921.0,9223225.0,8713300.0,1501116.0,2545820.0,30977355.0,24592588.0,4813600.0,17812.0,120275.0,46529.0,109481.0,11324.0,205415.0,685672.0,105356.0,5170821611.0
58,2018,41565831.0,204938755.0,12487996.0,15914498.0,112664152.0,42505035.0,105682094.0,58613001.0,35839760.0,30637585.0,206107261.0,49024465.0,6427382.0,16845685.0,10962362.0,37072620.0,326838199.0,18893191.0,44654882.0,4167860.0,109465287.0,163523103.0,1374659064.0,28079689.0,226928892.0,1402760000.0,5638676.0,126811000.0,32910967.0,71376079.0,9775564.0,19473970.0,6982604.0,7025037.0,45208907.0,8514329.0,5311916.0,352721.0,5793636.0,10175214.0,4597877.0,10462306.0,5984119.0,40265624.0,34085182.0,9346701.0,8882800.0,1503091.0,2580734.0,30196281.0,24963258.0,4900600.0,17814.0,122084.0,45285.0,109909.0,11477.0,207582.0,709101.0,105567.0,5221708679.0
59,2019,42999637.0,209485641.0,12776103.0,16352922.0,115737383.0,43294546.0,107553158.0,59587885.0,36210898.0,31258945.0,207455459.0,49907985.0,6515058.0,17103803.0,11105163.0,37618495.0,328329953.0,19197744.0,44973465.0,4234700.0,110804683.0,164913055.0,1389030312.0,28414064.0,230800899.0,1407745000.0,5703569.0,126633000.0,33440596.0,71522271.0,9771141.0,19371648.0,6945235.0,6975761.0,44957458.0,8575280.0,5347896.0,360563.0,5814422.0,10278887.0,4591241.0,10671891.0,5794594.0,41192171.0,35111408.0,9445785.0,9054000.0,1483756.0,2638657.0,30063799.0,25334826.0,4979200.0,17798.0,123921.0,44007.0,110282.0,11587.0,209780.0,728147.0,105669.0,5270819221.0
60,2020,44457152.0,213996181.0,13065837.0,16789219.0,118917671.0,44042091.0,109315124.0,60562381.0,36584208.0,31887809.0,208660842.0,50629997.0,6603739.0,17357325.0,11243848.0,38028638.0,331526933.0,19370624.0,45191965.0,4293261.0,112081264.0,166298024.0,1402617695.0,28966574.0,235001746.0,1411100000.0,5685807.0,126261000.0,33889558.0,71641484.0,9750149.0,19265250.0,6899126.0,6934015.0,44680014.0,8638167.0,5379475.0,366463.0,5831404.0,10353442.0,4522497.0,10865228.0,5702398.0,42116605.0,36134863.0,9401038.0,9215100.0,1472204.0,2794148.0,31552510.0,25649248.0,5090200.0,17792.0,126099.0,42706.0,110916.0,11643.0,211944.0,744498.0,105704.0,5320054863.0
61,2021,45910930.0,218529286.0,13355260.0,17220867.0,122138588.0,44761099.0,110957008.0,61502603.0,36954442.0,32518665.0,209550294.0,51188173.0,6684182.0,17598650.0,11374586.0,38239864.0,332048977.0,19456334.0,45312281.0,4345405.0,113100950.0,167658854.0,1414203896.0,29475010.0,239477801.0,1412360000.0,5453566.0,125681593.0,34282399.0,71727332.0,9709891.0,19122059.0,6834326.0,6877743.0,44298640.0,8704546.0,5408320.0,372520.0,5856733.0,10415811.0,4500424.0,11066356.0,5718122.0,43071211.0,37140230.0,9575152.0,9371400.0,1504365.0,2504910.0,30784383.0,25685412.0,5111300.0,17783.0,128377.0,41367.0,111624.0,11709.0,213779.0,762591.0,105490.0,5358097490.0
62,2022,47312719.0,223150896.0,13651030.0,17651103.0,125384287.0,45477389.0,112618250.0,62378410.0,37329064.0,33149152.0,210306415.0,51737944.0,6760464.0,17847877.0,11503606.0,38939056.0,333271411.0,19553036.0,45407904.0,4400773.0,113964338.0,169384897.0,1425423212.0,29715436.0,243700667.0,1412175000.0,5637022.0,125124989.0,34695493.0,71735329.0,9644377.0,19048502.0,6664449.0,6643324.0,41048766.0,8777088.0,5457127.0,382003.0,5903037.0,10486941.0,4730226.0,11256263.0,5744489.0,44070551.0,38222876.0,10074977.0,9557500.0,1524693.0,2657333.0,32175224.0,26014399.0,5117200.0,17759.0,130469.0,40077.0,112114.0,11801.0,215261.0,781066.0,105042.0,5396004125.0
63,2023,48656601.0,227882945.0,13954471.0,18077573.0,128691692.0,46164219.0,114535772.0,63212384.0,37712505.0,33787914.0,211140729.0,52321152.0,6844146.0,18124838.0,11637398.0,40097761.0,334914895.0,19658835.0,45538401.0,4458759.0,114891199.0,171466990.0,1438069596.0,29694614.0,247504495.0,1410710000.0,5917648.0,124516650.0,35126298.0,71702435.0,9592186.0,19059479.0,6623183.0,6446596.0,37732836.0,8888093.0,5519594.0,393349.0,5946952.0,10536632.0,5049269.0,11439213.0,5773493.0,45074049.0,39390799.0,10483751.0,9756600.0,1577059.0,2656032.0,33264292.0,26658948.0,5223100.0,17727.0,132530.0,38827.0,112630.0,11875.0,216663.0,800005.0,104597.0,5435535297.0
