year,country,population
1985,Uganda,15023681.0
1986,Uganda,15467579.0
1987,Uganda,15954170.0
1988,Uganda,16470483.0
1989,Uganda,17010698.0
1990,Uganda,17569897.0
1991,Uganda,18155901.0
1992,Uganda,18785032.0
1993,Uganda,19445161.0
1994,Uganda,20108801.0
1995,Uganda,20665667.0
1996,Uganda,21231550.0
1997,Uganda,21856046.0
1998,Uganda,22515806.0
1999,Uganda,23257281.0
2000,Uganda,24000150.0
2001,Uganda,24745676.0
2002,Uganda,25532870.0
2003,Uganda,26352124.0
2004,Uganda,27154515.0
2005,Uganda,27963289.0
2006,Uganda,28794003.0
2007,Uganda,29653430.0
2008,Uganda,30539553.0
2009,Uganda,31451151.0
2010,Uganda,32390802.0
2011,Uganda,33354543.0
2012,Uganda,34337438.0
2013,Uganda,35337042.0
2014,Uganda,36395539.0
2015,Uganda,37531446.0
2016,Uganda,38799152.0
2017,Uganda,40177388.0
2018,Uganda,41565831.0
2019,Uganda,42999637.0
2020,Uganda,44457152.0
2021,Uganda,45910930.0
2022,Uganda,47312719.0
2023,Uganda,48656601.0
1985,Nigeria,84897973.0
1986,Nigeria,87235953.0
1987,Nigeria,89591716.0
1988,Nigeria,92020090.0
1989,Nigeria,94531014.0
1990,Nigeria,97120925.0
1991,Nigeria,99720162.0
1992,Nigeria,102372770.0
1993,Nigeria,105122069.0
1994,Nigeria,107935714.0
1995,Nigeria,110819428.0
1996,Nigeria,113754779.0
1997,Nigeria,116754792.0
1998,Nigeria,119846254.0
1999,Nigeria,123047320.0
2000,Nigeria,126382494.0
2001,Nigeria,129862595.0
2002,Nigeria,133471989.0
2003,Nigeria,137202644.0
2004,Nigeria,141057045.0
2005,Nigeria,145017253.0
2006,Nigeria,149077334.0
2007,Nigeria,153267261.0
2008,Nigeria,157595014.0
2009,Nigeria,162049464.0
2010,Nigeria,166642886.0
2011,Nigeria,171379598.0
2012,Nigeria,176200625.0
2013,Nigeria,181049443.0
2014,Nigeria,185896915.0
2015,Nigeria,190671878.0
2016,Nigeria,195443700.0
2017,Nigeria,200254579.0
2018,Nigeria,204938755.0
2019,Nigeria,209485641.0
2020,Nigeria,213996181.0
2021,Nigeria,218529286.0
2022,Nigeria,223150896.0
2023,Nigeria,227882945.0
1985,Rwanda,6317228.0
1986,Rwanda,6531881.0
1987,Rwanda,6749493.0
1988,Rwanda,6968071.0
1989,Rwanda,7184706.0
1990,Rwanda,7375307.0
1991,Rwanda,7526966.0
1992,Rwanda,7683266.0
1993,Rwanda,7981132.0
1994,Rwanda,6792352.0
1995,Rwanda,5674118.0
1996,Rwanda,6708764.0
1997,Rwanda,7755238.0
1998,Rwanda,8081681.0
1999,Rwanda,8147912.0
2000,Rwanda,8213931.0
2001,Rwanda,8287094.0
2002,Rwanda,8400180.0
2003,Rwanda,8586875.0
2004,Rwanda,8816844.0
2005,Rwanda,9054528.0
2006,Rwanda,9299246.0
2007,Rwanda,9549933.0
2008,Rwanda,9804269.0
2009,Rwanda,10060432.0
2010,Rwanda,10317553.0
2011,Rwanda,10573733.0
2012,Rwanda,10829901.0
2013,Rwanda,11093340.0
2014,Rwanda,11364757.0
2015,Rwanda,11640022.0
2016,Rwanda,11919183.0
2017,Rwanda,12202060.0
2018,Rwanda,12487996.0
2019,Rwanda,12776103.0
2020,Rwanda,13065837.0
2021,Rwanda,13355260.0
2022,Rwanda,13651030.0
2023,Rwanda,13954471.0
1985,Senegal,6683287.0
1986,Senegal,6878192.0
1987,Senegal,7081530.0
1988,Senegal,7289618.0
1989,Senegal,7502207.0
1990,Senegal,7720523.0
1991,Senegal,7943085.0
1992,Senegal,8168395.0
1993,Senegal,8396288.0
1994,Senegal,8624078.0
1995,Senegal,8848101.0
1996,Senegal,9067014.0
1997,Senegal,9283495.0
1998,Senegal,9502952.0
1999,Senegal,9730887.0
2000,Senegal,9968260.0
2001,Senegal,10212942.0
2002,Senegal,10466214.0
2003,Senegal,10721176.0
2004,Senegal,10975704.0
2005,Senegal,11235472.0
2006,Senegal,11500094.0
2007,Senegal,11770344.0
2008,Senegal,12048959.0
2009,Senegal,12337389.0
2010,Senegal,12635413.0
2011,Senegal,12958897.0
2012,Senegal,13310495.0
2013,Senegal,13710849.0
2014,Senegal,14152102.0
2015,Senegal,14593331.0
2016,Senegal,15034521.0
2017,Senegal,15475002.0
2018,Senegal,15914498.0
2019,Senegal,16352922.0
2020,Senegal,16789219.0
2021,Senegal,17220867.0
2022,Senegal,17651103.0
2023,Senegal,18077573.0
1985,Ethiopia,39842136.0
1986,Ethiopia,41037656.0
1987,Ethiopia,42460039.0
1988,Ethiopia,44150825.0
1989,Ethiopia,45879690.0
1990,Ethiopia,47609755.0
1991,Ethiopia,49717198.0
1992,Ethiopia,51853747.0
1993,Ethiopia,53708891.0
1994,Ethiopia,55611508.0
1995,Ethiopia,57537335.0
1996,Ethiopia,59467635.0
1997,Ethiopia,61404539.0
1998,Ethiopia,63363524.0
1999,Ethiopia,65374561.0
2000,Ethiopia,67411494.0
2001,Ethiopia,69487762.0
2002,Ethiopia,71635517.0
2003,Ethiopia,73832663.0
2004,Ethiopia,76077206.0
2005,Ethiopia,78367470.0
2006,Ethiopia,80703490.0
2007,Ethiopia,83103217.0
2008,Ethiopia,85543668.0
2009,Ethiopia,88007636.0
2010,Ethiopia,90538514.0
2011,Ethiopia,93149970.0
2012,Ethiopia,95798767.0
2013,Ethiopia,98438751.0
2014,Ethiopia,101115610.0
2015,Ethiopia,103867135.0
2016,Ethiopia,106718162.0
2017,Ethiopia,109666481.0
2018,Ethiopia,112664152.0
2019,Ethiopia,115737383.0
2020,Ethiopia,118917671.0
2021,Ethiopia,122138588.0
2022,Ethiopia,125384287.0
2023,Ethiopia,128691692.0
1985,Algeria,22008544.0
1986,Algeria,22745499.0
1987,Algeria,23443624.0
1988,Algeria,24109536.0
1989,Algeria,24754485.0
1990,Algeria,25375810.0
1991,Algeria,25987928.0
1992,Algeria,26628568.0
1993,Algeria,27277048.0
1994,Algeria,27887279.0
1995,Algeria,28470191.0
1996,Algeria,29033044.0
1997,Algeria,29579301.0
1998,Algeria,30054133.0
1999,Algeria,30474354.0
2000,Algeria,30903893.0
2001,Algeria,31331221.0
2002,Algeria,31750835.0
2003,Algeria,32175818.0
2004,Algeria,32628286.0
2005,Algeria,33109249.0
2006,Algeria,33623506.0
2007,Algeria,34189416.0
2008,Algeria,34816961.0
2009,Algeria,35490445.0
2010,Algeria,36188236.0
2011,Algeria,36903376.0
2012,Algeria,37646166.0
2013,Algeria,38414171.0
2014,Algeria,39205031.0
2015,Algeria,40019529.0
2016,Algeria,40850721.0
2017,Algeria,41689299.0
2018,Algeria,42505035.0
2019,Algeria,43294546.0
2020,Algeria,44042091.0
2021,Algeria,44761099.0
2022,Algeria,45477389.0
2023,Algeria,46164219.0
1985,Egypt,50734968.0
1986,Egypt,52206295.0
1987,Egypt,53674435.0
1988,Egypt,55187681.0
1989,Egypt,56710642.0
1990,Egypt,58396618.0
1991,Egypt,60028997.0
1992,Egypt,61480660.0
1993,Egypt,62915681.0
1994,Egypt,64285589.0
1995,Egypt,65652622.0
1996,Egypt,67028048.0
1997,Egypt,68431740.0
1998,Egypt,69943294.0
1999,Egypt,71520954.0
2000,Egypt,73083284.0
2001,Egypt,74652029.0
2002,Egypt,76239137.0
2003,Egypt,77853548.0
2004,Egypt,79477443.0
2005,Egypt,81101004.0
2006,Egypt,82700403.0
2007,Egypt,84276225.0
2008,Egypt,85864789.0
2009,Egypt,87501636.0
2010,Egypt,89196072.0
2011,Egypt,91093059.0
2012,Egypt,93161001.0
2013,Egypt,95333553.0
2014,Egypt,97528654.0
2015,Egypt,99597342.0
2016,Egypt,101644589.0
2017,Egypt,103696057.0
2018,Egypt,105682094.0
2019,Egypt,107553158.0
2020,Egypt,109315124.0
2021,Egypt,110957008.0
2022,Egypt,112618250.0
2023,Egypt,114535772.0
1985,South Africa,35042093.0
1986,South Africa,36180515.0
1987,South Africa,37326190.0
1988,South Africa,38480649.0
1989,South Africa,39628575.0
1990,South Africa,40746268.0
1991,South Africa,41687898.0
1992,South Africa,42443509.0
1993,South Africa,43297156.0
1994,South Africa,44004139.0
1995,South Africa,44541554.0
1996,South Africa,45123018.0
1997,South Africa,45666838.0
1998,South Africa,46223880.0
1999,South Africa,46730335.0
2000,South Africa,47159719.0
2001,South Africa,47566800.0
2002,South Africa,48019415.0
2003,South Africa,48500348.0
2004,South Africa,48991421.0
2005,South Africa,49490033.0
2006,South Africa,49998277.0
2007,South Africa,50528584.0
2008,South Africa,51114599.0
2009,South Africa,51728516.0
2010,South Africa,52344051.0
2011,South Africa,52995205.0
2012,South Africa,53782567.0
2013,South Africa,54678791.0
2014,South Africa,55594838.0
2015,South Africa,56723537.0
2016,South Africa,57259551.0
2017,South Africa,57635162.0
2018,South Africa,58613001.0
2019,South Africa,59587885.0
2020,South Africa,60562381.0
2021,South Africa,61502603.0
2022,South Africa,62378410.0
2023,South Africa,63212384.0
1985,Morocco,22113953.0
1986,Morocco,22600803.0
1987,Morocco,23054392.0
1988,Morocco,23500524.0
1989,Morocco,23939414.0
1990,Morocco,24375551.0
1991,Morocco,24799014.0
1992,Morocco,25212468.0
1993,Morocco,25614586.0
1994,Morocco,26000822.0
1995,Morocco,26399429.0
1996,Morocco,26808107.0
1997,Morocco,27213337.0
1998,Morocco,27621648.0
1999,Morocco,28027179.0
2000,Morocco,28423435.0
2001,Morocco,28814643.0
2002,Morocco,29198142.0
2003,Morocco,29571415.0
2004,Morocco,29953018.0
2005,Morocco,30358144.0
2006,Morocco,30771178.0
2007,Morocco,31186468.0
2008,Morocco,31606767.0
2009,Morocco,32030778.0
2010,Morocco,32467016.0
2011,Morocco,32912588.0
2012,Morocco,33355241.0
2013,Morocco,33787571.0
2014,Morocco,34204780.0
2015,Morocco,34607588.0
2016,Morocco,35023457.0
2017,Morocco,35446392.0
2018,Morocco,35839760.0
2019,Morocco,36210898.0
2020,Morocco,36584208.0
2021,Morocco,36954442.0
2022,Morocco,37329064.0
2023,Morocco,37712505.0
1985,Ghana,13661229.0
1986,Ghana,13965217.0
1987,Ghana,14289108.0
1988,Ghana,14636568.0
1989,Ghana,15006813.0
1990,Ghana,15394648.0
1991,Ghana,15787496.0
1992,Ghana,16184855.0
1993,Ghana,16589519.0
1994,Ghana,16993190.0
1995,Ghana,17399017.0
1996,Ghana,17810181.0
1997,Ghana,18238958.0
1998,Ghana,18688036.0
1999,Ghana,19149864.0
2000,Ghana,19637087.0
2001,Ghana,20167069.0
2002,Ghana,20729388.0
2003,Ghana,21296705.0
2004,Ghana,21868298.0
2005,Ghana,22449438.0
2006,Ghana,23040702.0
2007,Ghana,23642279.0
2008,Ghana,24249946.0
2009,Ghana,24862664.0
2010,Ghana,25474995.0
2011,Ghana,26095088.0
2012,Ghana,26734268.0
2013,Ghana,27386193.0
2014,Ghana,28041592.0
2015,Ghana,28696068.0
2016,Ghana,29356742.0
2017,Ghana,30008354.0
2018,Ghana,30637585.0
2019,Ghana,31258945.0
2020,Ghana,31887809.0
2021,Ghana,32518665.0
2022,Ghana,33149152.0
2023,Ghana,33787914.0
1985,Brazil,135515595.0
1986,Brazil,138336370.0
1987,Brazil,141104944.0
1988,Brazil,143826357.0
1989,Brazil,146502972.0
1990,Brazil,149143223.0
1991,Brazil,151724256.0
1992,Brazil,154275079.0
1993,Brazil,156794577.0
1994,Brazil,159265006.0
1995,Brazil,161735073.0
1996,Brazil,164202549.0
1997,Brazil,166661659.0
1998,Brazil,169159655.0
1999,Brazil,171641543.0
2000,Brazil,174018282.0
2001,Brazil,176301203.0
2002,Brazil,178503484.0
2003,Brazil,180622688.0
2004,Brazil,182675143.0
2005,Brazil,184688101.0
2006,Brazil,186653106.0
2007,Brazil,188552320.0
2008,Brazil,190367302.0
2009,Brazil,192079951.0
2010,Brazil,193701929.0
2011,Brazil,195284734.0
2012,Brazil,196876111.0
2013,Brazil,198478299.0
2014,Brazil,200085127.0
2015,Brazil,201675532.0
2016,Brazil,203218114.0
2017,Brazil,204703445.0
2018,Brazil,206107261.0
2019,Brazil,207455459.0
2020,Brazil,208660842.0
2021,Brazil,209550294.0
2022,Brazil,210306415.0
2023,Brazil,211140729.0
1985,Colombia,29268470.0
1986,Colombia,29879112.0
1987,Colombia,30499467.0
1988,Colombia,31130524.0
1989,Colombia,31776279.0
1990,Colombia,32440069.0
1991,Colombia,33098372.0
1992,Colombia,33760571.0
1993,Colombia,34441473.0
1994,Colombia,35127410.0
1995,Colombia,35804662.0
1996,Colombia,36462745.0
1997,Colombia,37121149.0
1998,Colombia,37792165.0
1999,Colombia,38454863.0
2000,Colombia,39089934.0
2001,Colombia,39709262.0
2002,Colombia,40324680.0
2003,Colombia,40937429.0
2004,Colombia,41543171.0
2005,Colombia,42128977.0
2006,Colombia,42691084.0
2007,Colombia,43235374.0
2008,Colombia,43758808.0
2009,Colombia,44271541.0
2010,Colombia,44777319.0
2011,Colombia,45259614.0
2012,Colombia,45715810.0
2013,Colombia,46151584.0
2014,Colombia,46565429.0
2015,Colombia,46969940.0
2016,Colombia,47437512.0
2017,Colombia,48131078.0
2018,Colombia,49024465.0
2019,Colombia,49907985.0
2020,Colombia,50629997.0
2021,Colombia,51188173.0
2022,Colombia,51737944.0
2023,Colombia,52321152.0
1985,Paraguay,3510671.0
1986,Paraguay,3611474.0
1987,Paraguay,3714889.0
1988,Paraguay,3820546.0
1989,Paraguay,3927802.0
1990,Paraguay,4035747.0
1991,Paraguay,4144364.0
1992,Paraguay,4253600.0
1993,Paraguay,4362696.0
1994,Paraguay,4471417.0
1995,Paraguay,4579806.0
1996,Paraguay,4687543.0
1997,Paraguay,4794412.0
1998,Paraguay,4900025.0
1999,Paraguay,5003135.0
2000,Paraguay,5100868.0
2001,Paraguay,5187689.0
2002,Paraguay,5261328.0
2003,Paraguay,5326436.0
2004,Paraguay,5388175.0
2005,Paraguay,5448097.0
2006,Paraguay,5505148.0
2007,Paraguay,5559386.0
2008,Paraguay,5613574.0
2009,Paraguay,5671236.0
2010,Paraguay,5737971.0
2011,Paraguay,5814626.0
2012,Paraguay,5897008.0
2013,Paraguay,5982445.0
2014,Paraguay,6069811.0
2015,Paraguay,6159103.0
2016,Paraguay,6249126.0
2017,Paraguay,6338660.0
2018,Paraguay,6427382.0
2019,Paraguay,6515058.0
2020,Paraguay,6603739.0
2021,Paraguay,6684182.0
2022,Paraguay,6760464.0
2023,Paraguay,6844146.0
1985,Guatemala,7849693.0
1986,Guatemala,8070818.0
1987,Guatemala,8296485.0
1988,Guatemala,8532099.0
1989,Guatemala,8775546.0
1990,Guatemala,9024773.0
1991,Guatemala,9272584.0
1992,Guatemala,9522266.0
1993,Guatemala,9779761.0
1994,Guatemala,10043718.0
1995,Guatemala,10312996.0
1996,Guatemala,10583526.0
1997,Guatemala,10857754.0
1998,Guatemala,11139145.0
1999,Guatemala,11422965.0
2000,Guatemala,11697592.0
2001,Guatemala,11969422.0
2002,Guatemala,12246915.0
2003,Guatemala,12525842.0
2004,Guatemala,12807402.0
2005,Guatemala,13087629.0
2006,Guatemala,13367459.0
2007,Guatemala,13652040.0
2008,Guatemala,13935174.0
2009,Guatemala,14215611.0
2010,Guatemala,14500112.0
2011,Guatemala,14792126.0
2012,Guatemala,15089647.0
2013,Guatemala,15387337.0
2014,Guatemala,15681725.0
2015,Guatemala,15971743.0
2016,Guatemala,16268760.0
2017,Guatemala,16567357.0
2018,Guatemala,16845685.0
2019,Guatemala,17103803.0
2020,Guatemala,17357325.0
2021,Guatemala,17598650.0
2022,Guatemala,17847877.0
2023,Guatemala,18124838.0
1985,Haiti,6190862.0
1986,Haiti,6316122.0
1987,Haiti,6445123.0
1988,Haiti,6578145.0
1989,Haiti,6714730.0
1990,Haiti,6854441.0
1991,Haiti,6995450.0
1992,Haiti,7136571.0
1993,Haiti,7278181.0
1994,Haiti,7419771.0
1995,Haiti,7562546.0
1996,Haiti,7707557.0
1997,Haiti,7854298.0
1998,Haiti,8002143.0
1999,Haiti,8151296.0
2000,Haiti,8303151.0
2001,Haiti,8455918.0
2002,Haiti,8607641.0
2003,Haiti,8759912.0
2004,Haiti,8910263.0
2005,Haiti,9061273.0
2006,Haiti,9216562.0
2007,Haiti,9373296.0
2008,Haiti,9530774.0
2009,Haiti,9689581.0
2010,Haiti,9803294.0
2011,Haiti,9914904.0
2012,Haiti,10069771.0
2013,Haiti,10222362.0
2014,Haiti,10373235.0
2015,Haiti,10523242.0
2016,Haiti,10671457.0
2017,Haiti,10817754.0
2018,Haiti,10962362.0
2019,Haiti,11105163.0
2020,Haiti,11243848.0
2021,Haiti,11374586.0
2022,Haiti,11503606.0
2023,Haiti,11637398.0
1985,Canada,25842116.0
1986,Canada,26100278.0
1987,Canada,26446601.0
1988,Canada,26791747.0
1989,Canada,27276781.0
1990,Canada,27691138.0
1991,Canada,28037420.0
1992,Canada,28371264.0
1993,Canada,28684764.0
1994,Canada,29000663.0
1995,Canada,29302311.0
1996,Canada,29610218.0
1997,Canada,29905948.0
1998,Canada,30155173.0
1999,Canada,30401286.0
2000,Canada,30685730.0
2001,Canada,31020855.0
2002,Canada,31359199.0
2003,Canada,31642461.0
2004,Canada,31938807.0
2005,Canada,32242732.0
2006,Canada,32571193.0
2007,Canada,32888886.0
2008,Canada,33247298.0
2009,Canada,33630069.0
2010,Canada,34005902.0
2011,Canada,34339221.0
2012,Canada,34713395.0
2013,Canada,35080992.0
2014,Canada,35434066.0
2015,Canada,35704498.0
2016,Canada,36110803.0
2017,Canada,36545075.0
2018,Canada,37072620.0
2019,Canada,37618495.0
2020,Canada,38028638.0
2021,Canada,38239864.0
2022,Canada,38939056.0
2023,Canada,40097761.0
1985,United States,237924000.0
1986,United States,240133000.0
1987,United States,242289000.0
1988,United States,244499000.0
1989,United States,246819000.0
1990,United States,249623000.0
1991,United States,252981000.0
1992,United States,256514000.0
1993,United States,259919000.0
1994,United States,263126000.0
1995,United States,266278000.0
1996,United States,269394000.0
1997,United States,272657000.0
1998,United States,275854000.0
1999,United States,279040000.0
2000,United States,282162411.0
2001,United States,284968955.0
2002,United States,287625193.0
2003,United States,290107933.0
2004,United States,292805298.0
2005,United States,295516599.0
2006,United States,298379912.0
2007,United States,301231207.0
2008,United States,304093966.0
2009,United States,306771529.0
2010,United States,309327143.0
2011,United States,311583481.0
2012,United States,313877662.0
2013,United States,316059947.0
2014,United States,318386329.0
2015,United States,320738994.0
2016,United States,323071755.0
2017,United States,325122128.0
2018,United States,326838199.0
2019,United States,328329953.0
2020,United States,331526933.0
2021,United States,332048977.0
2022,United States,333271411.0
2023,United States,334914895.0
1985,Chile,12395274.0
1986,Chile,12588914.0
1987,Chile,12790150.0
1988,Chile,12999424.0
1989,Chile,13215005.0
1990,Chile,13437176.0
1991,Chile,13662491.0
1992,Chile,13884577.0
1993,Chile,14102276.0
1994,Chile,14316256.0
1995,Chile,14527381.0
1996,Chile,14734046.0
1997,Chile,14932434.0
1998,Chile,15127799.0
1999,Chile,15319313.0
2000,Chile,15503635.0
2001,Chile,15683849.0
2002,Chile,15857925.0
2003,Chile,16024752.0
2004,Chile,16187322.0
2005,Chile,16348778.0
2006,Chile,16509195.0
2007,Chile,16671581.0
2008,Chile,16838988.0
2009,Chile,17009731.0
2010,Chile,17181464.0
2011,Chile,17351816.0
2012,Chile,17519119.0
2013,Chile,17687006.0
2014,Chile,17864195.0
2015,Chile,18047625.0
2016,Chile,18267221.0
2017,Chile,18558868.0
2018,Chile,18893191.0
2019,Chile,19197744.0
2020,Chile,19370624.0
2021,Chile,19456334.0
2022,Chile,19553036.0
2023,Chile,19658835.0
1985,Argentina,30336441.0
1986,Argentina,30811980.0
1987,Argentina,31291762.0
1988,Argentina,31780532.0
1989,Argentina,32270948.0
1990,Argentina,32755901.0
1991,Argentina,33230294.0
1992,Argentina,33693527.0
1993,Argentina,34152717.0
1994,Argentina,34613491.0
1995,Argentina,35070020.0
1996,Argentina,35513793.0
1997,Argentina,35947791.0
1998,Argentina,36372860.0
1999,Argentina,36794682.0
2000,Argentina,37213984.0
2001,Argentina,37624825.0
2002,Argentina,38029349.0
2003,Argentina,38424282.0
2004,Argentina,38815916.0
2005,Argentina,39216789.0
2006,Argentina,39622115.0
2007,Argentina,40016763.0
2008,Argentina,40424148.0
2009,Argentina,40854831.0
2010,Argentina,41288694.0
2011,Argentina,41730660.0
2012,Argentina,42161721.0
2013,Argentina,42582455.0
2014,Argentina,43024071.0
2015,Argentina,43477012.0
2016,Argentina,43900313.0
2017,Argentina,44288894.0
2018,Argentina,44654882.0
2019,Argentina,44973465.0
2020,Argentina,45191965.0
2021,Argentina,45312281.0
2022,Argentina,45407904.0
2023,Argentina,45538401.0
1985,Panama,2200915.0
1986,Panama,2251325.0
1987,Panama,2301970.0
1988,Panama,2352848.0
1989,Panama,2403820.0
1990,Panama,2455583.0
1991,Panama,2508265.0
1992,Panama,2561336.0
1993,Panama,2615099.0
1994,Panama,2669546.0
1995,Panama,2724557.0
1996,Panama,2780227.0
1997,Panama,2836695.0
1998,Panama,2893914.0
1999,Panama,2951822.0
2000,Panama,3010369.0
2001,Panama,3069537.0
2002,Panama,3129344.0
2003,Panama,3189807.0
2004,Panama,3251155.0
2005,Panama,3313026.0
2006,Panama,3375024.0
2007,Panama,3437490.0
2008,Panama,3500648.0
2009,Panama,3564381.0
2010,Panama,3628535.0
2011,Panama,3693505.0
2012,Panama,3759256.0
2013,Panama,3825329.0
2014,Panama,3892101.0
2015,Panama,3960035.0
2016,Panama,4029086.0
2017,Panama,4098707.0
2018,Panama,4167860.0
2019,Panama,4234700.0
2020,Panama,4293261.0
2021,Panama,4345405.0
2022,Panama,4400773.0
2023,Panama,4458759.0
1985,Philippines,55213006.0
1986,Philippines,56645077.0
1987,Philippines,58157496.0
1988,Philippines,59739052.0
1989,Philippines,61265260.0
1990,Philippines,62854666.0
1991,Philippines,64382249.0
1992,Philippines,65926125.0
1993,Philippines,67530621.0
1994,Philippines,69019291.0
1995,Philippines,70546246.0
1996,Philippines,72190242.0
1997,Philippines,73908810.0
1998,Philippines,75791024.0
1999,Philippines,77753257.0
2000,Philippines,79625397.0
2001,Philippines,81401488.0
2002,Philippines,83068889.0
2003,Philippines,84731835.0
2004,Philippines,86394504.0
2005,Philippines,88015962.0
2006,Philippines,89508986.0
